[16:07:57] [INFO] received Windows console close event; shutting log-core down
[16:13:53] [INFO] received Windows console close event; shutting log-core down
[16:15:03] [INFO] received Windows console close event; shutting log-core down
[16:31:15] [INFO] received Windows console close event; shutting log-core down
[16:32:15] [INFO] received Windows console close event; shutting log-core down
[16:41:42] [INFO] received Windows console close event; shutting log-core down
[17:43:14] [INFO] received Windows console close event; shutting log-core down
[17:46:43] [INFO] received Windows console close event; shutting log-core down
[17:49:00] [INFO] received Windows console close event; shutting log-core down
[17:56:27] [INFO] received Windows console close event; shutting log-core down
[17:56:38] [INFO] received Windows console close event; shutting log-core down
[17:57:03] [INFO] received Windows console close event; shutting log-core down
[17:57:21] [INFO] received Windows console close event; shutting log-core down
[17:57:49] [INFO] received Windows console close event; shutting log-core down
[17:58:04] [INFO] received Windows console close event; shutting log-core down
[21:33:28] [INFO] received Windows console close event; shutting log-core down
[21:34:55] [INFO] received Windows console close event; shutting log-core down
[21:36:44] [INFO] received Windows console close event; shutting log-core down
[08:07:56] [INFO] received Windows console close event; shutting log-core down
[13:41:32] [INFO] received Windows console close event; shutting log-core down
[13:42:18] [INFO] received Windows console close event; shutting log-core down
[13:42:55] [INFO] received Windows console close event; shutting log-core down
[13:44:55] [INFO] received Windows console close event; shutting log-core down
[14:17:07] [INFO] received Windows console close event; shutting log-core down
[14:23:58] [INFO] received Windows console close event; shutting log-core down
[14:27:54] [INFO] received Windows console close event; shutting log-core down
[14:33:26] [INFO] received Windows console close event; shutting log-core down
[14:36:58] [INFO] received Windows console close event; shutting log-core down
[14:39:17] [INFO] received Windows console close event; shutting log-core down
[14:41:49] [INFO] received Windows console close event; shutting log-core down
[14:52:09] [INFO] received Windows console close event; shutting log-core down
[14:54:33] [INFO] received Windows console close event; shutting log-core down
[14:55:58] [INFO] received Windows console close event; shutting log-core down
[14:57:43] [INFO] received Windows console close event; shutting log-core down
[15:12:12] [INFO] received Windows console close event; shutting log-core down
[15:14:20] [INFO] received Windows console close event; shutting log-core down
[15:29:33] [INFO] received Windows console close event; shutting log-core down
[15:38:25] [INFO] received Windows console close event; shutting log-core down
